"city","mode","direction","people","covered","represented","coveragePct","pairs","routedPairs","eligiblePeople","localCoveragePct","longDistancePeople"
"schaffhausen","soft","inbound","3161","2861","2861","90.50933248971845","132","57","3008","95.11303191489361","128"
"schaffhausen","unknown","inbound","0","0","0","","0","0","0","","0"
"schaffhausen","car","outbound","2394","2277","2277","95.11278195488721","92","56","0","","355"
"schaffhausen","transit","outbound","2205","1823","1823","82.67573696145125","92","55","0","","328"
"schaffhausen","soft","outbound","964","734","734","76.14107883817428","92","35","777","94.46589446589446","161"
"schaffhausen","unknown","outbound","0","0","0","","0","0","0","","0"
"la-chaux-de-fonds","car","inbound","6676","6366","6366","95.35650089874176","97","46","0","","680"
"la-chaux-de-fonds","transit","inbound","3315","1660","1660","50.075414781297134","97","58","0","","340"
"la-chaux-de-fonds","soft","inbound","2601","2059","2059","79.16186082276047","97","33","2299","89.56067855589387","282"
"la-chaux-de-fonds","unknown","inbound","0","0","0","","0","0","0","","0"
"la-chaux-de-fonds","car","outbound","2544","2428","2428","95.44025157232704","54","32","0","","276"
"la-chaux-de-fonds","transit","outbound","1270","1197","1197","94.25196850393701","54","44","0","","167"
"la-chaux-de-fonds","soft","outbound","844","712","712","84.36018957345972","54","19","746","95.44235924932975","88"
"la-chaux-de-fonds","unknown","outbound","0","0","0","","0","0","0","","0"
"chiasso","car","inbound","3922","3740","3740","95.35951045385008","56","28","0","","193"
"chiasso","transit","inbound","2213","193","193","8.721192950745595","56","8","0","","113"
"chiasso","soft","inbound","2055","1811","1811","88.1265206812652","56","24","1953","92.72913466461854","102"
"chiasso","unknown","inbound","0","0","0","","0","0","0","","0"
"chiasso","car","outbound","428","408","408","95.32710280373831","31","24","0","","58"
"chiasso","transit","outbound","277","173","173","62.454873646209386","31","12","0","","39"
"chiasso","soft","outbound","234","193","193","82.47863247863248","31","16","203","95.07389162561576","31"
"chiasso","unknown","outbound","0","0","0","","0","0","0","","0"
"mendrisio","car","inbound","8274","7893","7893","95.3952139231327","70","28","0","","239"
"mendrisio","transit","inbound","3010","245","245","8.13953488372093","70","12","0","","83"
"mendrisio","soft","inbound","2801","2437","2437","87.00464119957158","70","26","2721","89.56266078647556","80"
"mendrisio","unknown","inbound","0","0","0","","0","0","0","","0"
"mendrisio","car","outbound","1311","1249","1249","95.27078565980167","43","29","0","","164"
"mendrisio","transit","outbound","454","280","280","61.67400881057269","43","14","0","","58"
"mendrisio","soft","outbound","395","328","328","83.0379746835443","43","22","345","95.07246376811594","50"
"mendrisio","unknown","outbound","0","0","0","","0","0","0","","0"
"zug","car","inbound","12857","12247","12247","95.25550283892044","362","207","0","","1966"
"zug","transit","inbound","9023","7231","7231","80.13964313421256","361","166","0","","1400"
"zug","soft","inbound","5287","4155","4155","78.5889918668432","362","84","4417","94.06837219832465","938"
"zug","unknown","inbound","0","0","0","","0","0","0","","0"
"zug","car","outbound","2809","2672","2672","95.12281950872196","105","54","0","","298"
"zug","transit","outbound","3866","3630","3630","93.89549922400414","105","74","0","","337"
"zug","soft","outbound","1727","1450","1450","83.96062536189925","104","33","1525","95.08196721311475","217"
"zug","unknown","outbound","0","0","0","","0","0","0","","0"
"neuchatel","car","inbound","9351","8885","8885","95.01657576729761","199","90","0","","2308"
"neuchatel","transit","inbound","5028","3051","3051","60.68019093078759","199","85","0","","1883"
"neuchatel","soft","inbound","4478","3091","3091","69.02635104957571","199","30","3297","93.75189566272368","1135"
"neuchatel","unknown","inbound","0","0","0","","0","0","0","","0"
"neuchatel","car","outbound","3290","3130","3130","95.13677811550151","89","42","0","","914"
"neuchatel","transit","outbound","3076","2425","2425","78.83615084525357","89","61","0","","900"
"neuchatel","soft","outbound","1360","941","941","69.19117647058823","89","17","990","95.05050505050505","364"
"neuchatel","unknown","outbound","0","0","0","","0","0","0","","0"
