"city","key","origin","originName","target","targetName","mode","direction","group","commuters","source","geometry","directKm","routeKm","seconds","snapKm","activeEligible","geometryErrors","skippedReason"
"zurich","zurich:CH1>CH261:transit:inbound","CH1","Aeugst am Albis","CH261","Zürich","transit","inbound","swissInbound","211","FSO commune matrix 2020","missing","11.950319314158632","","","","false","",""
"zurich","zurich:CH1>CH261:soft:inbound","CH1","Aeugst am Albis","CH261","Zürich","soft","inbound","swissInbound","6","FSO commune matrix 2020","bicycle","11.950319314158632","20.115089106143486","3937.768","0.021056058563194705","true","",""
"zurich","zurich:CH4711>CH261:car:inbound","CH4711","Affeltrangen","CH261","Zürich","car","inbound","swissInbound","12","FSO commune matrix 2020","missing","41.692259982011805","","","","false","",""
"zurich","zurich:CH4711>CH261:transit:inbound","CH4711","Affeltrangen","CH261","Zürich","transit","inbound","swissInbound","29","FSO commune matrix 2020","rail","41.692259982011805","65.28260369635402","","","false","",""
"zurich","zurich:CH4711>CH261:soft:inbound","CH4711","Affeltrangen","CH261","Zürich","soft","inbound","swissInbound","1","FSO commune matrix 2020","missing","41.692259982011805","","","","false","",""
"zurich","zurich:CH2>CH261:car:inbound","CH2","Affoltern am Albis","CH261","Zürich","car","inbound","swissInbound","405","FSO commune matrix 2020","road","12.79119353191474","22.062945222064858","1712.964","0.014063705919049336","false","",""
"zurich","zurich:CH2>CH261:transit:inbound","CH2","Affoltern am Albis","CH261","Zürich","transit","inbound","swissInbound","999","FSO commune matrix 2020","rail","12.79119353191474","24.93304472558868","","","false","",""
"zurich","zurich:CH2>CH261:soft:inbound","CH2","Affoltern am Albis","CH261","Zürich","soft","inbound","swissInbound","29","FSO commune matrix 2020","bicycle","12.79119353191474","19.041655177555505","3911.642","0.014063705919049336","true","",""
"zurich","zurich:CH1401>CH261:car:inbound","CH1401","Alpnach","CH261","Zürich","car","inbound","swissInbound","7","FSO commune matrix 2020","missing","52.966998007060276","","","","false","",""
"zurich","zurich:CH1401>CH261:transit:inbound","CH1401","Alpnach","CH261","Zürich","transit","inbound","swissInbound","18","FSO commune matrix 2020","missing","52.966998007060276","","","","false","",""
"zurich","zurich:CH1401>CH261:soft:inbound","CH1401","Alpnach","CH261","Zürich","soft","inbound","swissInbound","1","FSO commune matrix 2020","missing","52.966998007060276","","","","false","",""
"zurich","zurich:CH1361>CH261:car:inbound","CH1361","Alpthal","CH261","Zürich","car","inbound","swissInbound","5","FSO commune matrix 2020","missing","37.935671127311345","","","","false","",""
"zurich","zurich:CH1361>CH261:transit:inbound","CH1361","Alpthal","CH261","Zürich","transit","inbound","swissInbound","13","FSO commune matrix 2020","missing","37.935671127311345","","","","false","",""
