"city","key","origin","originName","target","targetName","mode","direction","group","commuters","source","geometry","directKm","routeKm","seconds","snapKm","activeEligible","geometryErrors","skippedReason","representedPeople"
"zurich","zurich:CH241>CH261:transit:inbound","CH241","Aesch (ZH)","CH261","Zürich","transit","inbound","swissInbound","212","FSO commune matrix 2020","missing","9.334754398380994","","","","false","","",""
"zurich","zurich:CH241>CH261:soft:inbound","CH241","Aesch (ZH)","CH261","Zürich","soft","inbound","swissInbound","74","FSO commune matrix 2020","bicycle","9.334754398380994","11.84484550014479","2380.033","0.01584766226746483","true","","","74"
"zurich","zurich:CH1>CH261:car:inbound","CH1","Aeugst am Albis","CH261","Zürich","car","inbound","swissInbound","49","FSO commune matrix 2020","road","11.950319314158632","24.77861079149965","1911.913","0.021056058563194705","false","","",""
"zurich","zurich:CH1>CH261:transit:inbound","CH1","Aeugst am Albis","CH261","Zürich","transit","inbound","swissInbound","187","FSO commune matrix 2020","missing","11.950319314158632","","","","false","","",""
"zurich","zurich:CH1>CH261:soft:inbound","CH1","Aeugst am Albis","CH261","Zürich","soft","inbound","swissInbound","66","FSO commune matrix 2020","bicycle","11.950319314158632","20.115089106143486","3937.768","0.021056058563194705","true","","","66"
"zurich","zurich:CH4711>CH261:car:inbound","CH4711","Affeltrangen","CH261","Zürich","car","inbound","swissInbound","7","FSO commune matrix 2020","missing","41.692259982011805","","","","false","","",""
"zurich","zurich:CH4711>CH261:transit:inbound","CH4711","Affeltrangen","CH261","Zürich","transit","inbound","swissInbound","26","FSO commune matrix 2020","rail","41.692259982011805","65.28260369635402","","","false","","","26"
"zurich","zurich:CH4711>CH261:soft:inbound","CH4711","Affeltrangen","CH261","Zürich","soft","inbound","swissInbound","9","FSO commune matrix 2020","missing","41.692259982011805","","","","false","","",""
"zurich","zurich:CH2>CH261:car:inbound","CH2","Affoltern am Albis","CH261","Zürich","car","inbound","swissInbound","235","FSO commune matrix 2020","road","12.79119353191474","22.062945222064858","1712.964","0.014063705919049336","false","","",""
"zurich","zurich:CH2>CH261:transit:inbound","CH2","Affoltern am Albis","CH261","Zürich","transit","inbound","swissInbound","887","FSO commune matrix 2020","rail","12.79119353191474","24.93304472558868","","","false","","","887"
"zurich","zurich:CH2>CH261:soft:inbound","CH2","Affoltern am Albis","CH261","Zürich","soft","inbound","swissInbound","311","FSO commune matrix 2020","bicycle","12.79119353191474","19.041655177555505","3911.642","0.014063705919049336","true","","","311"
"zurich","zurich:CH1401>CH261:car:inbound","CH1401","Alpnach","CH261","Zürich","car","inbound","swissInbound","4","FSO commune matrix 2020","missing","52.966998007060276","","","","false","","",""
"zurich","zurich:CH1401>CH261:transit:inbound","CH1401","Alpnach","CH261","Zürich","transit","inbound","swissInbound","16","FSO commune matrix 2020","missing","52.966998007060276","","","","false","","",""
"zurich","zurich:CH1401>CH261:soft:inbound","CH1401","Alpnach","CH261","Zürich","soft","inbound","swissInbound","6","FSO commune matrix 2020","missing","52.966998007060276","","","","false","","",""
"zurich","zurich:CH1361>CH261:car:inbound","CH1361","Alpthal","CH261","Zürich","car","inbound","swissInbound","3","FSO commune matrix 2020","missing","37.935671127311345","","","","false","","",""
"zurich","zurich:CH1361>CH261:transit:inbound","CH1361","Alpthal","CH261","Zürich","transit","inbound","swissInbound","11","FSO commune matrix 2020","missing","37.935671127311345","","","","false","","",""
"zurich","zurich:CH1361>CH261:soft:inbound","CH1361","Alpthal","CH261","Zürich","soft","inbound","swissInbound","4","FSO commune matrix 2020","missing","37.935671127311345","","","","false","","",""
"zurich","zurich:CH1201>CH261:car:inbound","CH1201","Altdorf (UR)","CH261","Zürich","car","inbound","swissInbound","10","FSO commune matrix 2020","missing","55.03001629364181","","","","false","","",""
"zurich","zurich:CH1201>CH261:transit:inbound","CH1201","Altdorf (UR)","CH261","Zürich","transit","inbound","swissInbound","40","FSO commune matrix 2020","rail","55.03001629364181","70.60873274830094","","","false","","","40"
"zurich","zurich:CH1201>CH261:soft:inbound","CH1201","Altdorf (UR)","CH261","Zürich","soft","inbound","swissInbound","14","FSO commune matrix 2020","missing","55.03001629364181","","","","false","","",""
"zurich","zurich:CH1341>CH261:car:inbound","CH1341","Altendorf","CH261","Zürich","car","inbound","swissInbound","110","FSO commune matrix 2020","road","31.272579716548652","39.717204394843144","2484.957","0.00838860666443266","false","","",""
"zurich","zurich:CH1341>CH261:transit:inbound","CH1341","Altendorf","CH261","Zürich","transit","inbound","swissInbound","414","FSO commune matrix 2020","rail","31.272579716548652","36.908847164837226","","","false","","","414"
"zurich","zurich:CH1341>CH261:soft:inbound","CH1341","Altendorf","CH261","Zürich","soft","inbound","swissInbound","145","FSO commune matrix 2020","missing","31.272579716548652","","","","false","","",""
"zurich","zurich:CH211>CH261:car:inbound","CH211","Altikon","CH261","Zürich","car","inbound","swissInbound","6","FSO commune matrix 2020","missing","28.942088465230984","","","","false","","",""
"zurich","zurich:CH211>CH261:transit:inbound","CH211","Altikon","CH261","Zürich","transit","inbound","swissInbound","22","FSO commune matrix 2020","missing","28.942088465230984","","","","false","","",""
