"city","minute","carNow","transitNow","activeNow","populationChange","vsDailyAverage","routeDerivedCarPopulation","curveCarPopulationSameCoverage"
"zurich","515","6754","21638","12821","139305","65216","17818","21110"
"zurich","520","6428","21497","11919","142638","68549","18590","21613"
"zurich","525","6100","22198","10482","145788","71699","19331","22088"
"zurich","530","5772","21181","10630","148752","74663","20043","22535"
"zurich","535","5444","20696","10667","151534","77445","20724","22954"
"zurich","540","5115","19481","10285","154136","80047","21374","23346"
"zurich","545","4787","19231","9772","156562","82473","21993","23711"
"zurich","550","4458","17786","8603","158818","84729","22582","24051"
"zurich","555","4129","17983","8171","160911","86822","23140","24366"
"zurich","560","3801","17144","7749","162847","88758","23668","24657"
"zurich","565","3472","17458","7342","164634","90545","24164","24926"
"zurich","570","3143","17279","7907","166281","92192","24630","25174"
"zurich","575","2814","15517","7145","167795","93706","25065","25402"
"zurich","580","2485","13993","7018","169184","95095","25469","25611"
"zurich","585","2156","11237","6296","170458","96369","25842","25802"
"zurich","590","1827","9338","5290","171622","97533","26185","25977"
"zurich","595","1498","7353","3913","172687","98598","26497","26137"
"zurich","600","1169","5766","3212","173657","99568","26778","26283"
"zurich","605","865","5122","2890","174542","100453","27023","26416"
"zurich","610","614","3352","2195","175346","101257","27227","26536"
"zurich","615","413","2763","1965","176077","101988","27389","26646"
"zurich","620","265","1780","1413","176741","102652","27511","26746"
"zurich","625","163","1376","1154","177342","103253","27595","26836"
"zurich","630","98","767","688","177887","103798","27649","26918"
"zurich","635","59","605","688","178379","104290","27681","26992"
"zurich","640","36","443","334","178824","104735","27701","27058"
"zurich","645","22","355","241","179224","105135","27712","27118"
"zurich","650","14","348","241","179585","105496","27719","27173"
"zurich","655","10","348","183","179908","105819","27723","27221"
"zurich","660","7","309","183","180198","106109","27727","27265"
"zurich","665","5","151","183","180457","106368","27729","27303"
"zurich","670","3","145","0","180688","106599","27730","27338"
"zurich","675","2","145","0","180893","106804","27731","27369"
"zurich","680","2","29","0","181073","106984","27731","27396"
"zurich","685","2","0","0","181231","107142","27731","27419"
"zurich","690","1","0","0","181369","107280","27732","27440"
"zurich","695","1","0","0","181487","107398","27732","27457"
"zurich","700","1","0","0","181588","107499","27732","27472"
"zurich","705","1","0","0","181672","107583","27732","27485"
"zurich","710","1","0","0","181739","107650","27732","27495"
"zurich","715","0","0","0","181792","107703","27733","27503"
"zurich","720","0","0","0","181831","107742","27733","27509"
"zurich","725","0","0","0","181856","107767","27733","27512"
"zurich","730","0","0","0","181867","107778","27733","27514"
"zurich","735","0","0","0","181865","107776","27733","27513"
"zurich","740","0","0","0","181850","107761","27733","27511"
"zurich","745","0","0","0","181823","107734","27733","27507"
